Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-0.53,-0.43,-0.29,-0.45,-0.1,-0.25,-0.28,-0.28,-0.33,-0.25,-0.38,-0.4,-0.33,***,***,-0.28,-0.27,-0.32
1881,-0.09,-0.24,-0.02,-0.07,-0.12,-0.42,-0.04,-0.03,-0.21,-0.34,-0.41,-0.29,-0.19,-0.2,-0.24,-0.07,-0.16,-0.32
1882,0.19,0.21,-0.02,-0.4,-0.32,-0.31,-0.18,0.01,-0.02,-0.49,-0.35,-0.38,-0.17,-0.16,0.04,-0.25,-0.16,-0.29
1883,-0.57,-0.66,-0.17,-0.3,-0.3,-0.23,-0.14,-0.26,-0.3,-0.12,-0.33,-0.25,-0.3,-0.31,-0.54,-0.26,-0.21,-0.25
1884,-0.21,-0.13,-0.65,-0.59,-0.4,-0.49,-0.44,-0.49,-0.45,-0.35,-0.44,-0.36,-0.42,-0.41,-0.2,-0.55,-0.47,-0.41
1885,-1.11,-0.35,-0.18,-0.56,-0.56,-0.55,-0.33,-0.44,-0.32,-0.29,-0.27,0.02,-0.41,-0.44,-0.61,-0.43,-0.44,-0.29
1886,-0.66,-0.67,-0.57,-0.36,-0.35,-0.42,-0.14,-0.46,-0.3,-0.25,-0.34,-0.11,-0.39,-0.37,-0.43,-0.43,-0.34,-0.3
1887,-1,-0.53,-0.32,-0.4,-0.31,-0.13,-0.11,-0.43,-0.12,-0.37,-0.19,-0.44,-0.36,-0.33,-0.55,-0.34,-0.22,-0.23
1888,-0.58,-0.57,-0.63,-0.3,-0.14,-0.05,0.06,-0.1,-0.09,0.05,-0.03,-0.34,-0.23,-0.23,-0.53,-0.35,-0.03,-0.02
1889,-0.41,0.29,0.03,0.12,-0.07,-0.13,0.02,-0.12,-0.2,-0.33,-0.54,-0.52,-0.16,-0.14,-0.15,0.02,-0.08,-0.36
1890,-0.66,-0.6,-0.42,-0.33,-0.48,-0.15,-0.28,-0.4,-0.41,-0.11,-0.52,-0.4,-0.4,-0.41,-0.59,-0.41,-0.28,-0.35
1891,-0.62,-0.74,-0.09,-0.27,-0.17,-0.12,-0.15,-0.11,0.03,-0.24,-0.55,0.08,-0.25,-0.29,-0.59,-0.18,-0.13,-0.25
1892,-0.35,-0.16,-0.53,-0.41,-0.23,0,-0.15,-0.07,-0.32,-0.21,-0.86,-0.49,-0.32,-0.27,-0.14,-0.39,-0.08,-0.47
1893,-1.32,-0.85,-0.28,-0.29,-0.36,-0.18,-0.12,-0.25,-0.17,-0.19,-0.2,-0.64,-0.4,-0.39,-0.89,-0.31,-0.18,-0.19
1894,-0.87,-0.4,-0.17,-0.51,-0.24,-0.46,-0.29,-0.27,-0.26,-0.22,-0.46,-0.31,-0.37,-0.4,-0.64,-0.31,-0.34,-0.31
1895,-0.72,-0.73,-0.35,-0.19,-0.25,-0.25,-0.17,-0.29,0.04,-0.11,-0.07,-0.17,-0.27,-0.28,-0.59,-0.26,-0.23,-0.05
1896,-0.42,-0.22,-0.51,-0.61,-0.18,0.07,-0.01,-0.09,-0.06,0.04,-0.28,-0.22,-0.21,-0.2,-0.27,-0.43,-0.01,-0.1
1897,-0.36,-0.33,-0.31,0.02,0.17,-0.03,0.03,0.03,-0.03,-0.13,-0.23,-0.32,-0.12,-0.11,-0.3,-0.04,0.01,-0.13
1898,0.02,-0.44,-0.72,-0.27,-0.35,-0.11,-0.11,-0.16,-0.11,-0.3,-0.43,-0.21,-0.27,-0.28,-0.25,-0.45,-0.13,-0.28
1899,-0.09,-0.59,-0.46,-0.19,-0.22,-0.33,-0.19,-0.01,0,0.15,0.4,-0.44,-0.16,-0.15,-0.3,-0.29,-0.18,0.18
1900,-0.56,-0.02,0.21,-0.13,0.07,-0.09,-0.02,0.02,0.03,0.25,-0.15,-0.03,-0.04,-0.07,-0.34,0.05,-0.03,0.04
1901,-0.36,0.06,0.31,0.1,-0.11,0.04,0.05,-0.06,-0.16,-0.25,-0.13,-0.34,-0.07,-0.04,-0.11,0.1,0.01,-0.18
1902,-0.14,0.16,-0.32,-0.38,-0.41,-0.4,-0.26,-0.22,-0.21,-0.29,-0.48,-0.65,-0.3,-0.27,-0.11,-0.37,-0.29,-0.32
1903,-0.21,0.21,-0.12,-0.46,-0.51,-0.54,-0.33,-0.49,-0.39,-0.4,-0.34,-0.5,-0.34,-0.35,-0.21,-0.36,-0.46,-0.38
1904,-0.75,-0.54,-0.39,-0.54,-0.46,-0.5,-0.56,-0.44,-0.55,-0.33,-0.07,-0.24,-0.45,-0.47,-0.59,-0.47,-0.5,-0.32
1905,-0.45,-0.74,-0.2,-0.44,-0.3,-0.31,-0.18,-0.23,-0.11,-0.24,0.06,-0.28,-0.28,-0.28,-0.48,-0.31,-0.24,-0.1
1906,-0.56,-0.57,-0.12,0.08,-0.17,-0.07,-0.28,-0.1,-0.19,-0.11,-0.39,0.01,-0.21,-0.23,-0.47,-0.07,-0.15,-0.23
