Land-Ocean: Southern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.05,.03,-.05,-.08,-.17,-.30,-.18,.15,.01,-.05,.02,-.01,-.06,***,***,-.10,-.11,-.01
1881,-.12,-.03,.05,.02,.05,-.13,-.07,.01,.04,-.04,-.10,.00,-.03,-.03,-.05,.04,-.06,-.03
1882,.02,.00,.08,.02,-.02,-.17,-.02,.07,.02,.05,-.05,-.12,-.01,.00,.00,.03,-.04,.01
1883,-.09,-.17,-.16,-.17,-.19,.01,-.01,.02,-.05,-.09,-.06,-.10,-.09,-.09,-.13,-.17,.01,-.07
1884,-.14,-.08,-.02,-.11,-.22,-.26,-.23,-.01,-.01,-.08,-.15,-.20,-.13,-.12,-.11,-.12,-.16,-.08
1885,-.20,-.23,-.28,-.32,-.26,-.45,-.23,-.11,-.07,-.09,-.17,-.12,-.21,-.22,-.21,-.29,-.26,-.11
1886,-.19,-.24,-.26,-.22,-.18,-.35,-.17,-.15,-.08,-.24,-.17,-.37,-.22,-.20,-.18,-.22,-.22,-.16
1887,-.31,-.42,-.29,-.32,-.34,-.26,-.25,-.11,-.25,-.25,-.31,-.31,-.28,-.29,-.37,-.32,-.20,-.27
1888,-.27,-.26,-.32,-.26,-.30,-.36,-.23,-.11,-.06,-.01,.04,.09,-.17,-.20,-.28,-.29,-.23,-.01
1889,.00,.01,.07,-.02,.03,-.09,-.10,-.21,-.15,-.10,-.06,-.08,-.06,-.04,.03,.03,-.13,-.11
1890,-.29,-.36,-.39,-.41,-.47,-.38,-.29,-.31,-.31,-.33,-.22,-.20,-.33,-.32,-.24,-.42,-.33,-.28
1891,-.29,-.27,-.20,-.23,-.17,-.30,-.28,-.30,-.29,-.23,-.19,-.11,-.24,-.25,-.25,-.20,-.30,-.24
